什么	shen me
胆红素	dan hong su
纪念塔	ji nian ta
唱高调	chang gao diao
走着瞧	zou zhe qiao
角膜炎	jiao mo yan
通胀率	tong zhang lv
单细胞	dan xi bao
都不在	dou bu zai
分布区	fen bu qu
地下党	di xia dang
缺省值	que sheng zhi
大循环	da xun huan
线速度	xian su du
夕阳红	xi yang hong
终南山	zhong nan shan
落汤鸡	luo tang ji
大冶市	da ye shi
小便宜	xiao pian yi
呱呱叫	gua gua jiao
红帽子	hong mao zi
石灰水	shi hui shui
繁殖力	fan zhi li
双系统	shuang xi tong
百分数	bai fen shu
宝石蓝	bao shi lan
单相思	dan xiang si
闽南话	min nan hua
鼻烟壶	bi yan hu
护林员	hu lin yuan
印染厂	yin ran chang
红皮书	hong pi shu
较新的	jiao xin de
三结合	san jie he
苦行僧	gu xing seng
独行侠	du xing xia
明天见	ming tian jian
女职员	nv zhi yuan
翻了翻	fan le fan
舍小家	she xiao jia
精密度	jing mi du
头盖骨	tou gai gu
值班员	zhi ban yuan
输尿管	shu niao guan
叶倩文	ye qian wen
燃烧弹	ran shao dan
最大值	zui da zhi
大三元	da san yuan
核物理	he wu li
树底下	shu di xia
九头鸟	jiu tou niao
多方便	duo fang bian
送货员	song huo yuan
美术课	mei shu ke
见习期	jian xi qi
金属线	jin shu xian
被隐藏	bei yin cang
军兵种	jun bing zhong
不能读	bu nai du
长乐市	chang le shi
打得好	da de hao
十六个	shi liu ge
叶圣陶	ye sheng tao
大家乐	da jia le
鱼尾纹	yu wei wen
佝偻病	gou lou bing
差得远	cha de yuan
合唱队	he chang dui
别这样	bie zhe yang
会员证	hui yuan zheng
阔叶林	kuo ye lin
少数派	shao shu pai
客家话	ke jia hua
无房户	wu fang hu
洗脸盆	xi lian pen
不会玩	bu hui wan
出纳员	chu na yuan
九十万	jiu shi wan
红珊瑚	hong shan hu
副乡长	fu xiang zhang
文化圈	wen hua quan
映山红	ying shan hong
改革者	gai ge zhe
团代会	tuan dai hui
和平奖	he ping jiang
识别码	shi bie ma
八宝粥	ba bao zhou
弄不懂	nong bu dong
大喜事	da xi shi
响尾蛇	xiang wei she
潘长江	pan chang jiang
但其实	dan qi shi
席梦思	xi meng si
脚丫子	jiao ya zi
臭男人	chou nan ren
大一岁	da yi sui
无产者	wu chan zhe
单晶硅	dan jing gui
失乐园	shi le yuan
动员令	dong yuan ling
红宝书	hong bao shu
传家宝	chuan jia bao
兜着走	dou zhe zou
我懒得	wo lan de
三叶虫	san ye chong
微血管	wei xue guan
碧绿色	bi lv se
说梦话	shuo meng hua
三角裤	san jiao ku
坏女孩	huai nv hai
太小了	tai xiao le
运钞车	yun chao che
茶叶蛋	cha ye dan
开普敦	kai pu dun
传声筒	chuan sheng tong
洒水车	sa shui che
电子系	dian zi xi
那时快	na shi kuai
高射炮	gao she pao
琉璃厂	liu li chang
合得来	he de lai
舒伯特	shu bo te
一顿饭	yi dun fan
拉丁语	la ding yu
眼角膜	yan jiao mo
无机物	wu ji wu
钟楚红	zhong chu hong
耶和华	ye he hua
长镜头	chang jing tou
女作家	nv zuo jia
红艳艳	hong yan yan
铅中毒	qian zhong dai
变戏法	bian xi fa
重感冒	zhong gan mao
钥匙圈	yao shi quan
干坏事	gan huai shi
广汉市	guang han shi
花生壳	hua sheng ke
见一面	jian yi mian
大昭寺	da zhao si
伸缩缝	shen suo feng
小百货	xiao bai huo
剪刀差	jian dao cha
大后方	da hou fang
这么办	zhe me ban
绿帽子	lv mao zi
换句话	huan ju hua
摩托艇	mo tuo ting
血泪史	xue lei shi
调度员	diao du yuan
土地法	tu di fa
文中说	wen zhong shuo
无规则	wu gui ze
大头菜	da tou cai
叶利钦	ye li qin
花和尚	hua he shang
随机数	sui ji shu
参政党	can zheng dang
长方体	chang fang ben
读书声	du shu sheng
七十万	qi shi wan
绝经期	jue jing qi
旅行袋	lv xing dai
烟雾弹	yan wu dan
跳楼价	tao lou jia
装箱单	zhuang xiang dan
化验员	hua yan yuan
耍流氓	shua liu mang
打卡机	da ka ji
脐带血	qi dai xue
圣约翰	sheng yue han
样板戏	yang ban xi
核辐射	he fu she
落地式	luo di shi
高脚杯	gao jiao bei
白种人	bai zhong ren
价值量	jia zhi liang
小胖子	xiao pang zi
答辩会	da bian hui
麦饭石	mai fan shi
汉学家	han xue jia
荧光屏	ying guang ping
红眼病	hong yan bing
电解质	dian jie zhi
核战争	he zhan zheng
模糊性	mo hu xing
百灵鸟	bai ling niao
塔尔寺	ta er si
万金油	wan jin you
吊脚楼	diao jiao lou
工资单	gong zi dan
没准儿	mei zhun er
和事佬	he shi lao
落地灯	luo di deng
顾得上	gu de shang
行李箱	xing li xiang
古印度	gu yin du
核大国	he da guo
落水狗	luo shui gou
广播操	guang bo cao
夹竹桃	jia zhu tao
钟乳石	zhong ru shi
预言家	yu yan jia
分析员	fen xi yuan
不停顿	bu ting dun
房管所	fang guan suo
又不会	you bu hui
竹叶青	zhu ye qing
铺地板	pu di ban
数一数	shu yi shu
杨家将	yang jia jiang
费心思	fei xin si
神秘园	shen mi yuan
审判员	shen pan yuan
万向节	wan xiang jie
落叶松	luo ye song
出勤率	chu qin lv
脑死亡	nao si wang
日全食	ri quan shi
不合乎	bu he hu
受压迫	shou ya po
金大中	jin da zhong
暑期班	shu qi ban
双重性	shuang chong xing
大房间	da fang jian
石头城	shi tou cheng
无穷尽	wu qiong jin
吸水率	xi shui lv
成长期	cheng zhang qi
强迫性	qiang po xing
像样的	xiang yang de
吃不得	chi bu de
雷峰塔	lei feng ta
栖霞市	qi xia shi
颈动脉	jing dong mai
酷毙了	ku bi le
正合适	zheng he shi
桐城派	tong cheng pai
大辩论	da bian lun
聚合酶	ju he mei
冷色调	leng se diao
石英表	shi ying biao
地板砖	di ban zhuan
最恶劣	zui e lie
北极圈	bei ji quan
挺难的	ting nan de
被召回	bei zhao hui
南雄市	nan xiong shi
三位数	san wei shu
过饱和	guo bao he
没来的	mei lai de
向这里	xiang zhe li
燕尾服	yan wei fu
地方病	di fang bing
空房间	kong fang jian
淮南子	huai nan zi
思想界	si xiang jie
大时代	da shi dai
电解液	dian jie ye
炊事员	chui shi yuan
十传百	shi chuan bai
大黄鱼	da huang yu
无辜者	wu gu zhe
造反派	zao fan pai
手提箱	shou ti xiang
大黄蜂	da huang feng
多视角	duo shi jiao
歇会儿	xie hui er
六盘山	liu pan shan
向右转	xiang you zhuan
重启动	chong qi dong
没事人	mei shi ren
小米粥	xiao mi zhou
调度室	diao du shi
石膏粉	shi gao fen
直率的	zhi shuai de
橄榄绿	gan lan lv
厌食症	ya shi zheng
不解释	bu jie shi
打不着	da bu zhao
复仇者	fu chou zhe
偷车贼	tou che zei
鬼谷子	gui gu zi
鸟兽散	niao shou san
升降梯	sheng jiang ti
棉纺厂	mian fang chang
手底下	shou di xia
大杂院	da za yuan
和平鸽	he ping ge
只打了	zhi da le
方解石	fang jie shi
警觉性	jing jue xing
背单词	bei dan ci
神农氏	shen nong shi
一传十	yi chuan shi
重阳节	chong yang jie
接地线	jie di xian
救生员	jiu sheng yuan
齐步走	qi bu zou
补血药	bu xue yao
毛阿敏	ma a min
惠灵顿	hui ling dun
强心针	qiang xin zhen
双人房	shuang ren fang
单簧管	dan huang guan
公证员	gong zheng yuan
坏东西	huai dong xi
大半生	da ban sheng
倒车镜	dao che jing
数不尽	shu bu jin
说空话	shuo kong hua
万宁市	wan ning shi
冷藏室	leng cang shi
家长制	jia zhang zhi
低效率	di xiao lv
核黄素	he huang su
说相声	shuo xiang sheng
腐殖质	fu zhi zhi
红衣服	hong yi fu
见见面	jian jian mian
反射率	fan she lv
新游戏	xin you xi
大忙人	da mang ren
夹克衫	jia ke shan
使不得	shi bu de
大司马	da si ma
改革派	gai ge pai
大总统	da zong tong
小浪底	xiao lang di
缩略语	suo lve yu
天晓得	tian xiao de
选择项	xuan ze xiang
小厨房	xiao chu fang
数十人	shu shi ren
不期然	bu qi ran
大礼堂	da li tang
金龟子	jin gui zi
胳膊肘	ge bo zhou
革委会	ge wei hui
核爆炸	he bao zha
军烈属	jun lie shu
砖瓦厂	zhuan wa chang
纪念会	ji nian hui
南宫市	nan gong shi
大转变	da zhuan bian
凝血酶	ning xue mei
暗绿色	an lv se
戴绿帽	dai lv mao
神秘性	shen mi xing
电度表	dian du biao
六月雪	liu yue xue
省略号	sheng lve hao
说胡话	shuo hu hua
知其然	zhi qi ran
走亲戚	zou qin qi
长毛绒	chang ma rong
石斑鱼	shi ban yu
水磨石	shui mo shi
百日咳	bai ri ke
私房话	si fang hua
瞎折腾	xia zhe teng
亲笔信	qin bi shen
雪茄烟	xue jia yan
非暴力	fei bao li
皮影戏	pi ying xi
行必果	xing bi guo
平底鞋	ping di xie
顶呱呱	ding gua gua
便携机	bian xie ji
亲水性	qin shui xing
大轿车	da jiao che
警卫员	jing wei yuan
冷藏箱	leng cang xiang
大笨蛋	da ben dan
狗尾草	gou wei cao
食人族	shi ren zu
皮大衣	pi da yi
手提袋	shou ti dai
括约肌	kuo yue ji
二传手	er chuan shou
系列剧	xi lie ju
冷藏库	leng cang ku
青灰色	qing hui se
亡国奴	wang guo nu
绘图员	hui tu yuan
向左转	xiang zuo zhuan
发大水	fa da shui
非常重	fei chang zhong
淡灰色	dan hui se
利尿剂	li niao ji
除臭剂	chu chou ji
契诃夫	qi he fu
寻短见	xun duan jian
怨不得	yuan bu de
这个字	zhe ge zi
大包干	da bao gan
见光死	jian guang si
不还价	bu huan jia
木器厂	mu qi chang
低潮期	di chao qi
听我说	ting wo shuo
信贷员	shen dai yuan
宴会厅	yan hui ting
乐悠悠	le you you
长明灯	chang ming deng
广播稿	guang bo gao
说谎话	shuo huang hua
凤尾竹	feng wei zhu
土地税	tu di shui
万寿菊	wan shou ju
遭强暴	zao qiang bao
无影灯	wu ying deng
三句话	san ju hua
中科大	zhong ke da
见不得	jian bu de
得力于	de li yu
单位制	dan wei zhi
彼得堡	bi de bao
够得上	gou de shang
没脑子	mei nao zi
家乡话	jia xiang hua
鸡血石	ji xue shi
新社会	xin she hui
这点儿	zhe dian er
礼拜六	li bai liu
安陆市	an lu shi
长臂猿	chang bi yuan
重机枪	zhong ji qiang
三角带	san jiao dai
高纬度	gao wei du
大不敬	da bu jing
办事员	ban shi yuan
保育员	bao yu yuan
未见得	wei jian de
大集体	da ji ben
石膏像	shi gao xiang
猜谜语	cai mi yu
传动带	chuan dong dai
大半个	da ban ge
赔付率	pei fu lv
拾荒者	shi huang zhe
四会市	si hui shi
清洁员	qing jie yuan
大盖帽	da gai mao
知其一	zhi qi yi
转发器	zhuan fa qi
催泪弹	cui lei dan
抵得上	di de shang
石首市	shi shou shi
算了吧	suan le ba
扁圆形	bian yuan xing
平底锅	ping di guo
传播者	chuan bo zhe
贺年卡	he nian ka
领带夹	ling dai jia
不消说	bu xiao shuo
马前卒	ma qian zu
农运会	nong yun hui
石英钟	shi ying zhong
白血球	bai xue qiu
笛卡尔	di ka er
美术界	mei shu jie
大官人	da guan ren
独轮车	du lun che
侃大山	kan da shan
寻开心	xun kai xin
收缩压	shou suo ya
不一会	bu yi hui
投递员	tou di yuan
莫泊桑	mo bo sang
谜一样	mi yi yang
藏宝图	cang bao tu
矢车菊	shi che ju
屈光度	qu guang du
挖地道	wa di dao
万能胶	wan nai jiao
血友病	xue you bing
短时期	duan shi qi
女画家	nv hua jia
碰不得	peng bu de
金属板	jin shu ban
性解放	xing jie fang
磐石市	pan shi shi
大过年	da guo nian
大仲马	da zhong ma
欢迎会	huan ying hui
牛肉汤	niu rou tang
太瘦了	tai shou le
地方戏	di fang xi
踢脚板	ti jiao ban
现代戏	xian dai xi
地质队	di zhi dui
留余地	liu yu di
想了个	xiang le ge
陈列柜	chen lie gui
好得多	hao de duo
参考性	can kao xing
大巴山	da ba shan
不在了	bu zai le
翻斗车	fan dou che
冷藏柜	leng cang gui
大部头	da bu tou
单引号	dan yin hao
牛角尖	niu jiao jian
石棉瓦	shi mian wa
罗洗河	luo xi he
耍无赖	shua wu lai
苦丁茶	gu ding cha
酸梅汤	suan mei tang
香蕉皮	xiang jiao pi
百分表	bai fen biao
误码率	wu ma lv
大晴天	da qing tian
试运转	shi yun zhuan
顽固派	wan gu pai
坎大哈	kan da ha
不合身	bu he shen
核导弹	he dao dan
南康市	nan kang shi
锡伯族	xi bo zu
听不得	ting bu de
雪里红	xue li hong
百褶裙	bai xi qun
弹药库	dan yao ku
瞧得起	qiao de qi
化纤厂	hua xian chang
又输了	you shu le
马大哈	ma da ha
绷着脸	beng zhe lian
广水市	guang shui shi
千佛洞	qian fo dong
挺简单	ting jian dan
相映红	xiang ying hong
碱金属	jian jin shu
石灰窑	shi hui yao
重婚罪	chong hun zui
档案柜	dang an gui
露脐装	lu qi zhuang
毛纺厂	ma fang chang
大兄弟	da xiong di
鬼见愁	gui jian chou
装配厂	zhuang pei chang
大雪山	da xue shan
低纬度	di wei du
八强战	ba qiang zhan
蛇吞象	she tun xiang
发红包	fa hong bao
括号里	kuo hao li
烟幕弹	yan mu dan
胖大海	pang da hai
塔斯社	ta si she
牙龈炎	ya yin yan
氮肥厂	dan fei chang
共存亡	gong cun wang
地雷战	di lei zhan
没吭声	mei keng sheng
石狮子	shi shi zi
吓死你	xia si ni
中长跑	zhong chang pao
猩红热	xing hong re
佛教界	fo jiao jie
黄埔港	huang pu gang
老佛爷	lao fo ye
钥匙孔	yao shi kong
大白话	da bai hua
导尿管	dao niao guan
圈起来	quan qi lai
慢车道	man che dao
色织厂	se zhi chang
玻璃柜	bo li gui
想得美	xiang de mei
折叠床	zhe die chuang
大碗茶	da wan cha
六边形	liu bian xing
核废料	he fei liao
军转民	jun zhuan min
露天矿	lu tian kuang
城运会	cheng yun hui
陆丰市	lu feng shi
温和派	wen he pai
吃得下	chi de xia
打地铺	da di pu
大姨妈	da yi ma
红学家	hong xue jia
忍得住	ren de zhu
热那亚	re na ya
北大荒	bei da huang
两栖类	liang qi lei
三合板	san he ban
白名单	bai ming dan
冷冻厂	leng dong chang
应氏杯	ying shi bei
百忙中	bai mang zhong
胖头鱼	pang tou yu
小合唱	xiao he chang
制图员	zhi tu yuan
薄荷糖	bo he tang
穿甲弹	chuan jia dan
地质图	di zhi tu
美女蛇	mei nv she
灯塔市	deng ta shi
连轴转	lian zhou zhuan
核威慑	he wei she
王重阳	wang chong yang
协理员	xie li yuan
太妙了	tai miao le
闷得慌	men de huang
大财主	da cai zhu
核反应	he fan ying
假大空	jia da kong
抹不掉	mo bu diao
打错了	da cuo le
洗脚水	xi jiao shui
板着脸	ban zhe lian
降半旗	jiang ban qi
见上帝	jian shang di
差得多	cha de duo
船老大	chuan lao da
民主派	min zhu pai
涡轮机	wo lun ji
寻呼台	xun hu tai
色情狂	se qing kuang
石灰岩	shi hui yan
行军床	xing jun chuang
核威胁	he wei xie
老大妈	lao da ma
玩不转	wan bu zhuan
加农炮	jia nong pao
广告战	guang gao zhan
毒气弹	dai qi dan
单行线	dan xing xian
老相识	lao xiang shi
轮胎厂	lun tai chang
太湖石	tai hu shi
强刺激	qiang ci ji
内陆河	na lu he
千分尺	qian fen chi
三句半	san ju ban
订货单	ding huo dan
死读书	si du shu
逃亡者	tao wang zhe
番木瓜	fan mu gua
核扩散	he kuo san
武术家	wu shu jia
血红素	xue hong su
长生殿	chang sheng dian
坏主意	huai zhu yi
小钢炮	xiao gang pao
彻底性	che di xing
三家村	san jia cun
搭错车	da cuo che
南瓜子	nan gua zi
贫血症	pin xue zheng
红四军	hong si jun
说得通	shuo de tong
相思病	xiang si bing
大理寺	da li si
档案夹	dang an jia
欢乐颂	huan le song
学说话	xue shuo hua
眼镜蛇	yan jing she
绿豆粥	lv dou zhou
电机系	dian ji xi
杜冷丁	du leng ding
火烈鸟	huo lie niao
万言书	wan yan shu
车前子	che qian zi
芭蕉扇	ba jiao shan
酿酒厂	niang jiu chang
始祖鸟	shi zu niao
鹅黄色	e huang se
马家军	ma jia jun
棉大衣	mian da yi
白花蛇	bai hua she
木材厂	mu cai chang
暴发户	bao fa hu
血色素	xue se su
腊八粥	la ba zhou
梦中见	meng zhong jian
胖小子	pang xiao zi
人心齐	ren xin qi
红血球	hong xue qiu
见闻录	jian wen lu
去不得	qu bu de
天灵盖	tian ling gai
地下河	di xia he
广播员	guang bo yuan
雅尔塔	ya er ta
撑得住	cheng de zhu
女流氓	nv liu mang
悬挂着	xuan gua zhe
格鲁派	ge lu pai
美学家	mei xue jia
特种兵	te zhong bing
提货单	ti huo dan
武术馆	wu shu guan
比翼鸟	bi yi niao
纽约市	niu yue shi
停尸房	ting shi fang
冯梦龙	feng meng long
真难得	zhen nan de
铅笔画	qian bi hua
电单车	dian dan che
水蛇腰	shui she yao
恨透了	hen tou le
更擅长	geng shan chang
蛇皮袋	she pi dai
行李舱	xing li cang
暴走族	bao zou zu
军工厂	jun gong chang
忙得很	mang de hen
丝织厂	si zhi chang
奠基石	dian ji shi
你好坏	ni hao huai
存款单	cun kuan dan
大串联	da chuan lian
近似值	jin si zhi
洗脸水	xi lian shui
地板蜡	di ban la
罚款单	fa kuan dan
速食面	su shi mian
扁桃腺	bian tao xian
十公尺	shi gong chi
大花脸	da hua lian
和氏璧	he shi bi
吉卜赛	ji bu sai
强笑道	qiang xiao dao
长命锁	chang ming suo
含油率	han you lv
石竹花	shi zhu hua
中提琴	zhong ti qin
偷袭了	tou xi le
组合柜	zu he gui
娜塔莎	na ta sha
演奏员	yan zou yuan
没治了	mei zhi le
短歌行	duan ge xing
适配卡	shi pei ka
最地道	zui di dao
鸡血藤	ji xue teng
老大姐	lao da jie
说漏嘴	shuo lou zui
节育环	jie yu huan
笨死了	ben si le
薄荷油	bo he you
脚气病	jiao qi bing
长短句	chang duan ju
插一脚	cha yi jiao
光膀子	guang bang zi
广播室	guang bo shi
方位角	fang wei jiao
滤色镜	lv se jing
参与感	can yu gan
随你便	sui ni bian
氧化铅	yang hua qian
万户侯	wan hu hou
大年夜	da nian ye
孔雀绿	kong que lv
止血带	zhi xue dai
体育版	ben yu ban
花鼓戏	hua gu xi
裹脚布	guo jiao bu
金属钠	jin shu na
解方程	jie fang cheng
跳房子	tao fang zi
哪晓得	na xiao de
相思豆	xiang si dou
臭老九	chou lao jiu
吓怕了	xia pa le
杏黄色	xing huang se
爽呆了	shuang dai le
长筒袜	chang tong mo
核裂变	he lie bian
苏珊娜	su shan na
反导弹	fan dao dan
挡车工	dang che gong
屎壳郎	shi ke lang
兑换券	dui huan quan
圈外人	quan wai ren
脚底板	jiao di ban
大头鱼	da tou yu
否定句	fou ding ju
选择键	xuan ze jian
陈述句	chen shu ju
白扁豆	bai bian dou
抽象派	chou xiang pai
见下文	jian xia wen
社会观	she hui guan
单音节	dan yin jie
地板革	di ban ge
看家狗	kan jia gou
五角钱	wu jiao qian
保得住	bao de zhu
代数学	dai shu xue
地摊货	di tan huo
蒙大拿	meng da na
迷魂汤	mi hun tang
土地爷	tu di ye
绿豆糕	lv dou gao
土地庙	tu di miao
酸辣汤	suan la tang
更神奇	geng shen qi
拿得到	na de dao
聊会儿	liao hui er
传送点	chuan song dian
仿真度	fang zhen du
大砍刀	da kan dao
坏分子	huai fen zi
丁关根	ding guan gen
议会制	yi hui zhi
登陆艇	deng lu ting
大数目	da shu mu
大咧咧	da lie lie
两间房	liang jian fang
孙百川	sun bai chuan
凹透镜	ao tou jing
不多了	bu duo le
不管了	bu guan le
不会被	bu hui bei
变化的	bian hua de
不好的	bu hao de
摆了摆	bai le bai
不认得	bu ren de
比赛的	bi sai de
不行的	bu xing de
被胁迫	bei xie po
出版的	chu ban de
传过来	chuan guo lai
传过去	chuan guo qu
长葛市	chang ge shi
擦了擦	ca le ca
出卖了	chu mai le
长期的	chang qi de
诚实的	cheng shi de
出事了	chu shi le
出世了	chu shi le
次要的	ci yao de
创造的	chuang zao de
盗版的	dao ban de
得到的	de dao de
东莞市	dong guan shi
大号的	da hao de
独立的	du li de
大理市	da li shi
大屁股	da pi gu
打扰了	da rao le
点燃了	dian ran le
大傻瓜	da sha gua
掉线了	diao xian le
挡住了	dang zhu le
发财了	fa cai le
公布的	gong bu de
更不会	geng bu hui
感动了	gan dong le
更难得	geng nan de
广元市	guang yuan shi
盖州市	gai zhou shi
合川市	he chuan shi
好多了	hao duo le
好久了	hao jiu le
挥了挥	hui le hui
好奇地	hao qi de
很强大	hen qiang da
很少的	hen shao de
红缨枪	hong ying qiang
决定的	jue ding de
狡猾的	jiao hua de
紧身的	jin shen de
急什么	ji shen me
见笑了	jian xiao le
惊醒了	jing xing le
空白的	kong bai de
扛不住	kang bu zhu
开发的	kai fa de
宽松的	kuan song de
可以的	ke yi de
乐昌市	le chang shi
领导的	ling dao de
落后的	luo hou de
乐陵市	le ling shi
乐平市	le ping shi
乐山市	le shan shi
流下了	liu xia le
没别的	mei bie de
麻烦了	ma fan le
没工作	mei gong zuo
明亮的	ming liang de
妈妈的	ma ma de
没用的	mei yong de
那么久	na me jiu
你没有	ni mei you
扭曲的	niu qu de
男人的	nan ren de
女人的	nv ren de
你认识	ni ren shi
年少的	nian shao de
你说呢	ni shuo ne
浓郁的	nong yu de
那样做	na yang zuo
排斥的	pai chi de
平淡的	ping dan de
碰了碰	peng le peng
取得的	qu de de
去掉了	qu diao le
轻浮的	qing fu de
全国的	quan guo de
瞧了瞧	qiao le qiao
轻蔑的	qing mie de
清平乐	qing ping yue
群众的	qun zhong de
人为的	ren wei de
热心的	re xin de
失败了	shi bai le
上乘的	shang cheng de
设定的	she ding de
收到的	shou dao de
收到了	shou dao le
少见的	shao jian de
受惊的	shou jing de
善良的	shan liang de
是那个	shi na ge
受骗了	shou pian le
输入的	shu ru de
宿松县	su song xian
水手长	shui shou zhang
挺好的	ting hao de
突起的	tu qi de
天生的	tian sheng de
太少了	tai shao le
望夫石	wang fu shi
无聊的	wu liao de
文明的	wen ming de
我买了	wo mai le
无奈地	wu nai de
渭南市	wei nan shi
我亲眼	wo qin yan
万源市	wan yuan shi
小号的	xiao hao de
小角色	xiao jue se
新乐市	xin le shi
熄灭了	xi mie le
小秘密	xiao mi mi
吓破胆	xia po dan
新鲜的	xin xian de
下雨了	xia yu le
细致的	xi zhi de
选择的	xuan ze de
小杂种	xiao za zhong
也不行	ye bu xing
又重新	you chong xin
宜都市	yi du shi
有地位	you di wei
友好的	you hao de
严谨的	yan jin de
研究的	yan jiu de
一流的	yi liu de
优良的	you liang de
有难度	you nan du
要求的	yao qiu de
艺术的	yi shu de
忧伤的	you shang de
堰塞湖	yan se hu
又似乎	you si hu
一万年	yi wan nian
以下的	yi xia de
有心的	you xin de
拥有的	yong you de
支持的	zhi chi de
组成的	zu cheng de
做出了	zuo chu le
找得到	zhao de dao
制度的	zhi du de
足够了	zu gou le
折旧率	zhe jiu lv
着了魔	zhao le mo
这么小	zhe me xiao
最强大	zui qiang da
周围的	zhou wei de
在我家	zai wo jia
专用的	zhuan yong de
战争的	zhan zheng de
作者的	zuo zhe de
再这样	zai zhe yang
彻底地	che di de
高尚的	gao shang de
北方的	bei fang de
富裕的	fu yu de
可恨的	ke hen de
南方的	nan fang de
伪造的	wei zao de
凶猛的	xiong meng de
有意的	you yi de
全面地	quan mian de
沉痛地	chen tong de
急剧地	ji ju de
爪哇国	zhao wa guo
某大学	mou da xue
删除的	shan chu de
遗传的	yi chuan de
左胳膊	zuo ge bo
被勒死	bei lei si
说的是	shuo de shi
身边的	shen bian de
你真的	ni zhen de
能得到	nai de dao
但没有	dan mei you
她没有	jie mei you
那两个	na liang ge
怎么就	zen me jiu
抱住了	bao zhu le
和朋友	he peng you
说一下	shuo yi xia
也跟着	ye gen zhe
给我看	gei wo kan
准备了	zhun bei le
做到的	zuo dao de
说这话	shuo zhe hua
删除了	shan chu le
无法在	wu fa zai
设置了	she zhi le
她真的	jie zhen de
你选择	ni xuan ze
解释了	jie shi le
给了她	gei le jie
明确了	ming que le
回答了	hui da le
不对的	bu dui de
他父亲	ta fu qin
找了个	zhao le ge
明天的	ming tian de
分析了	fen xi le
我为了	wo wei le
那可是	na ke shi
但不会	dan bu hui
闪烁的	shan shuo de
他无法	ta wu fa
他母亲	ta mu qin
便成了	bian cheng le
湿湿的	shi shi de
拉着他	la zhe ta
亲切地	qin qie de
我用了	wo yong le
还无法	hai wu fa
懒得去	lan de qu
刚来的	gang lai de
见个面	jian ge mian
输光了	shu guang le
没印象	mei yin xiang
顿一下	dun yi xia
很仔细	hen zi xi
蒙对了	meng dui le
离奇的	li qi de
足够大	zu gou da
二手的	er shou de
解解渴	jie jie ke
所在的	suo zai de
加强了	jia qiang le
他真的	ta zhen de
她觉得	jie jue de
加入了	jia ru le
没半点	mei ban dian
并提出	bing ti chu
并进行	bing jin xing
拉着她	la zhe jie
抱着他	bao zhe ta
我选择	wo xuan ze
就跟着	jiu gen zhe
他认识	ta ren shi
拦住了	lan zhu le
落实了	luo shi le
给她看	gei jie kan
没看清	mei kan qing
气愤地	qi fen de
请专家	qing zhuan jia
削弱了	xue ruo le
凶恶的	xiong e de
大剌剌	da la la
长长地	chang chang de
她们还	jie men hai
她还要	jie hai yao
则没有	ze mei you
搬走了	ban zou le
你解释	ni jie shi
其作用	qi zuo yong
逼着我	bi zhe wo
还健在	hai jian zai
自学的	zi xue de
仅包括	jin bao kuo
这好像	zhe hao xiang
较重的	jiao zhong de
吓傻了	xia sha le
和蔼地	he ai de
无助地	wu chu de
准备得	zhun bei de
健美的	jian mei de
很棒的	hen bang de
坚强地	jian qiang de
压缩了	ya suo le
凝固的	ning gu de
强大了	qiang da le
妥善地	tuo shan de
心疼得	xin teng de
张开的	zhang kai de
画上的	hua shang de
帮你的	bang ni de
很差的	hen cha de
最冷的	zui leng de
解释得	jie shi de
片面地	pian mian de
打扫得	da sao de
那也得	na ye dei
存放的	cun fang de
蕴藏的	yun cang de
愈合的	yu he de
善意地	shan yi de
加倍地	jia bei de
没好处	mei hao chu
挺多的	ting duo de
还好说	hai hao shuo
你会被	ni hui bei
挪用了	nuo yong le
提取的	ti qu de
上了锁	shang le suo
用红笔	yong hong bi
还凑合	hai cou he
更和谐	geng he xie
施舍给	shi she gei
其来源	qi lai yuan
他妈的	ta ma de
运动会	yun dong hui
当家的	dang jia de
山西省	shan xi sheng
说不上	shuo bu shang
中南海	zhong nan hai
这么样	zhe me yang
研究员	yan jiu yuan
读书人	du shu ren
少不得	shao bu de
差点儿	cha dian er
音乐家	yin yue jia
甜甜的	tian tian de
单方面	dan fang mian
团团转	tuan tuan zhuan
共和党	gong he dang
难道说	nan dao shuo
软软的	ruan ruan de
使眼色	shi yan se
作曲家	zuo qu jia
无愧于	wu kui yu
参议员	can yi yuan
染色体	ran se ben
骨碌碌	gu lu lu
拉丁文	la ding wen
住宅区	zhu zhai qu
转瞬间	zhuan shun jian
单身汉	dan shen han
献殷勤	xian yin qin
思想家	si xiang jia
三轮车	san lun che
侦察员	zhen cha yuan
古铜色	gu tong se
笑呵呵	xiao he he
千百万	qian bai wan
这么些	zhe me suo
安乐椅	an le yi
坐标系	zuo biao xi
大别山	da bie shan
资本家	zi ben jia
银白色	yin bai se
大个儿	da ge er
大麻子	da ma zi
大团结	da tuan jie
居民区	ju min qu
灰白色	hui bai se
说闲话	shuo xian hua
玫瑰色	mei gui se
小意思	xiao yi si
划不来	hua bu lai
解放区	jie fang qu
老大娘	lao da niang
会员国	hui yuan guo
兜圈子	dou quan zi
好人家	hao ren jia
在校生	zai xiao sheng
观察家	guan cha jia
现场会	xian chang hui
收藏家	shou cang jia
展销会	zhan xiao hui
一骨碌	yi gu lu
众议员	zhong yi yuan
艺术界	yi shu jie
联欢会	lian huan hui
紫红色	zi hong se
粮食局	liang shi ju
老伯伯	lao bo bo
数学家	shu xue jia
军事家	jun shi jia
